,,,per 100g,per 100g,per 100g,per 100g,per 100g,per 100g,per 100g
Public Food Key,Food Name,Description,"Energy 
F006497,"Pastry, filo, commercial, raw","Uncooked commercial thin sheets of wheat flour based pastry, prepared without added fat, used in preparation of strudels and Greek-style pastry dishes.","1,284",10.2,3.8,0.53,55.8,1.3,581
F006496,"Pastry, filo, commercial, baked","Baked commercial thin sheets of wheat flour based pastry, prepared without added fat, used in preparation of strudels and Greek-style pastry dishes.","1,633",12.2,3.1,0.42,75.1,2.1,766
F006505,"Pastry, puff, with butter, commercial, raw","Uncooked pastry purchased ready-to-cook from supermarkets. Pastry may be sold in thin sheets or in blocks that need to be rolled. Produces a pastry that contains multiple fine layers and is often used on the top of pies. Typical ingredients include wheat flour, butter, salt, citric acid and preservative.","1,384",5.5,19,11.9,32.9,1,160
F006504,"Pastry, puff, with butter, commercial, baked","Pastry purchased uncooked from supermarkets and then baked at home. Pastry may be sold in thin sheets or in blocks that need to be rolled. Produces a pastry that contains multiple fine layers and is often used on the top of pies. Typical ingredients include wheat flour, butter, salt, citric acid and preservative.","1,798",7.1,24.7,15.45,42.7,1.3,208
F006503,"Pastry, puff, vegetable oil, commercial, raw","Uncooked pastry purchased ready-to-cook from supermarkets. Pastry may be sold in thin sheets or in blocks that need to be rolled. Produces a pastry that contains multiple fine layers and is often used on the top of pies. Typical ingredients include wheat flour, vegetable oil, salt, citric acid and preservative.","1,322",5.5,16.4,7.5,35,1,387
F006502,"Pastry, puff, vegetable oil, commercial, baked","Pastry purchased uncooked from supermarkets and then baked at home. Pastry may be sold in thin sheets or in blocks that need to be rolled. Produces a pastry that contains multiple fine layers and is often used on the top of pies. Typical ingredients include wheat flour, vegetable oil, salt, citric acid and preservative.","1,695",7,21,9.62,44.9,1.3,497
F006507,"Pastry, shortcrust style, commercial, raw","Uncooked pastry purchased in thin sheets or blocks from supermarkets. Produces a firm pastry often used on the base of pies. Typical ingredients include wheat flour, vegetable fat, glycerol, citric acid and water.","1,654",6.4,21.4,9.37,41.3,1.2,446
F006506,"Pastry, shortcrust style, commercial, baked","Pastry purchased in thin sheets or blocks from supermarkets and baked at home. Produces a firm pastry often used on the base of pies. Typical ingredients include wheat flour, vegetable fat, glycerol, citric acid and water.","2,017",7.8,26.1,11.43,50.4,1.5,544
F003607,"Dressing, French or Italian, regular fat, commercial","Commercially prepared thin sauce used to dress salads. Major ingredients include water, vegetable oil, sugar, vinegar, garlic and spices.",959,0.1,19.6,2.02,11.7,11.4,970
F003612,"Dressing, thousand island, regular fat, commercial","Commercially prepared thick white, beige or light orange coloured cream, emulsified sauce used to dress salads and seafood. Major ingredients include vegetable oil, vinegar, milk powder, tomato, sugar, egg and seasonings.","1,508",1,31.8,3.37,16.6,14.7,878
F004385,"Horseradish, prepared","Whitish root vegetable, grated and mixed with vinegar and salt.",208,1.2,0.7,0.09,8,8,314
F005441,"Mayonnaise, traditional (greater than 65% fat), commercial","Commercially prepared white, emulsified sauce with a similar thick consistency to cream. Used in sandwiches or to dress salads. Major ingredients include oil, sugar, vinegar and egg.","2,659",0.8,67.2,8.28,8.7,7.9,480
F005437,"Mayonnaise, low fat, commercial","A white, emulsified sauce with a similar thick consistency to cream, using lower levels of oil to develop a product with a low fat content. Used in sandwiches and to dress salads. Major ingredients include oil, sugar and vinegar.",534,0.5,1.8,0.23,27.1,20.5,678
F000565,"Beef extract, bonox","Thick, dark brown concentrated beef extract paste. Typically added to soups and stews for flavouring or to hot water as a beverage. Contains added salt.",400,16.6,0.2,0,6.5,0,"6,660"
F005973,"Mustard, cream style","Yellowish paste prepared from ground mustard seeds (typically 10 - 30% of total product), water, vinegar, salt and herbs or other spices. Sold packaged in jars and used as a condiment without further preparation.",352,5.8,3.1,0.14,6.2,3.6,"1,420"
F006471,"Paste, Indian style curry, commercial","Commercially prepared Indian style curry paste sauce. Ingredients may include water, tomato and onion puree, vegetable oil, chilli, garlic, ginger, herbs & spices and colours and flavourings.",875,2.9,14.1,1.46,14.2,7.3,"1,802"
F006469,"Paste, green curry, commercial","Commercially prepared paste containing green chilli, onions, salt, spices, herbs, vegetable oil and other ingredients, used for preparing south-east Asian style main dishes.",464,2.4,7.9,1.39,6.3,3.4,"1,807"
F005702,"Paste, soybean",A thick paste made from fermented and processed soya beans mixed with grain and injected with a yeast mould.,777,12.9,5.1,0.74,19.7,10.4,"3,800"
F006476,"Paste, shrimp","Commercially prepared dark, pungent paste prepared from shrimp and used as a flavouring in Asian style cooking.",394,21,1,0.38,0,0,"6,000"
F006478,"Paste, wasabi, commercial","Commercially prepared hot, green paste typically made with horseradish, wasabi root, oil, water and salt. Commonly consumed with sushi or sashimi.","1,088",0.8,7.5,1.68,46.2,2.8,"2,600"
F007987,"Sauce, barbecue, commercial","Commercially prepared sweet, thick, brown coloured, bottled sauce containing apples, sugar, Worcestershire sauce, golden syrup, food acid, thickener, salt, molasses, mixed citrus peel, raisins, spices, vegetable gum and water.",761,0.8,0.1,0,42.2,38.4,710
F007992,"Sauce, butter chicken, commercial","Commercially prepared Indian style butter chicken sauce. Commonly contains water, tomatoes, onions, vegetable oil, cream, butter, sugar, salt, spices, garlic, chilli and colour.",415,1.3,7.6,3.13,5.8,3.6,462
F008000,"Sauce, cranberry, commercial","Commercially prepared jellied or semi-jellied sweet jam-like sauce made from cranberries, sugars and water.",689,0,0,0,40,40,50
F008004,"Sauce, fish, commercial","Commercially prepared sauce based on fish or anchovy extract, and salt, commonly used in Asian style cooking.",216,6.8,0.3,0,4.4,4.4,"8,255"
F008008,"Sauce, hoi sin (hoisin), commercial","Commercially prepared sweet, spicy bottled sauce based on fermented soya beans with other ingredients.",954,1.6,5.4,0.82,37.2,33.5,"1,550"
F008026,"Sauce, oyster, commercial","Commercially prepared sauce based on oyster extract, sugar, caramel, salt, starch, flavour, protein or hydrolysed vegetable protein, soy sauce, preservative, sodium benzoate, water, food conditioner. Commonly used in Asian-style cooking.",481,2.8,1,0.16,21,15.6,"3,790"
F008028,"Sauce, pasta or simmer, commercial, low fat","Commercially prepared sauce for use as a simmer/pasta bake sauce, formulated so as to contain less than 3% fat. Typical ingredients include water, thickener, cheese, onion, garlic, salt, flavours, herbs and spices.",244,0.8,2.9,0.3,6.6,3.5,281
F008029,"Sauce, pasta, basil pesto, commercial","Commercially prepared basil pesto flavoured pasta sauce. Commonly containing basil, vegetable and /or olive oil, cashews, pine nuts, water, cheese, sugar, salt and garlic.","1,601",5.3,37.1,6.93,7.4,2.1,"1,251"
F008050,"Sauce, pasta, tomato-based, commercial, heated","Commercially prepared tomato-based pasta sauce with herbs, spices and vegetables for addition to pasta dishes. Heated without added ingredients according to label instructions.",234,1.6,1.5,0.17,7.5,6.2,375
F008054,"Sauce, plum, commercial","Commercially prepared chutney-style, spicy, sweet, hot sauce, based on plums.","1,005",0.1,0.8,0.41,56.5,48.2,950
F008055,"Sauce, rogan josh, commercial","Commercially prepared Indian style Rogan Josh flavoured sauce. Commonly contains water, vegetable oil, salt, coriander, ginger, chilli, spices, gram flour and pepper.",298,1.5,4.1,1.9,6.2,3.1,508
F008056,"Sauce, salsa, tomato-based, commercial","Commercially prepared Mexican style, tomato based dip. Typical ingredients include tomato, onion, capsicum, jalapenos, salt and chilli.",153,1.3,0,0,6.3,4.9,480
F008062,"Sauce, simmer for chicken, commercial","Commercially prepared simmer/bake sauce intended for use with chicken dishes. Typical base ingredients  include water, vegetable oil, onion, thickener, flavours, herbs and spices. Additional ingredients may be included depending on the flavour of the simmer sauce.",386,0.8,7.5,0.93,4.8,3.3,212
F008065,"Sauce, soy, commercial","Commercially prepared dark brown salty liquid sauce commonly containing hydrolysed soy protein, hydrolysed wheat protein, salt, colour (caramel) and water.",211,6.8,0,0,3.2,2.2,"5,600"
F008067,"Sauce, soy, commercial, reduced salt","Commercially prepared dark brown, salty, liquid sauce commonly containing hydrolysed soy protein, hydrolysed wheat protein, salt, colour (caramel) and water. Reduced in salt compared to regular soy sauce.",211,6.8,0,0,3.2,2.2,"3,934"
F008077,"Sauce, tabasco, commercial",Commercially prepared spicy sauce made from red peppers.,57,1.3,0.8,0.12,0.1,0.1,633
F008083,"Sauce, tomato, commercial","Commercially prepared sauce with a thick consistency. Contains tomatoes, sugar, salt, food acid and spices.",459,1.3,0,0,24.1,23.7,870
F008085,"Sauce, tomato, commercial, reduced salt","Commercially prepared sauce with a thick consistency formulated to have less added salt than regular commercial tomato sauce. Contains tomatoes, sugar, salt, food acid and spices.",459,1.3,0,0,24.1,23.7,529
F010105,"Sauce, tomato, reduced sugar & salt, commercial","Commercially prepared sauce with a thick consistency formulated to have less added sugar and salt than regular commercial tomato sauce. Contains tomatoes, sugar, salt, food acid and spices.",241,1.3,0,0,11.3,10.9,507
F008094,"Sauce, Worcestershire, commercial","Commercially prepared fermented liquid condiment made with vinegar, molasses, golden syrup, salt, water, spices, soy sauce, pepper, tamarinds, anchovies, lemon oil, onion and garlic powder.",328,1.3,0.2,0.04,17.6,16.9,"1,060"
F009498,Vinegar (except balsamic vinegar),"Sour liquid prepared by acetous fermentation, with or without alcoholic fermentation, of any suitable foodstuff, commonly used in dressings. Available types of vinegar include white, brown and malt.",57,0,0,0,0,0,5
F009499,"Vinegar, balsamic","Sour liquid prepared by acetous fermentation. Balsamic vinegar is based on wine vinegar complemented by concentrated and cooked grape must, ageing allowing aroma to further develop. Commonly used in dressings and as a taste enhancer in various recipes",336,0.5,0,0,15,15,23
F006577,"Peanut butter, smooth & crunchy, added sugar & salt","Commercial paste made from roasted and ground peanuts. Available in two types with (crunchy) and without (smooth) chunks of peanuts. Contains vegetable oil, added sugar and salt.","2,504",22.2,49.6,8.75,14.3,8.6,477
F006579,"Peanut butter, smooth & crunchy, no added sugar or salt","Commercial paste made from roasted, unsalted and ground peanuts. Available in two types with (crunchy) and with out (smooth) chunks of peanuts. Does not contain added salt or sugar.","2,633",24.3,54.3,9.44,9.4,5.2,12
F008783,"Spread, yeast, marmite","Commercial thick, dark brown concentrated yeast extract spread. Contains added salt, and vitamins B1, B2 and B3.",636,13.3,0.9,0.14,16.6,11.8,"3,400"
F008785,"Spread, yeast, vegemite","Commercial, thick dark brown, salty concentrated yeast extract spread made by treating yeast with acid. Contains added salt, and vitamins B1, B2 and B3.",684,24.4,0.9,0.14,10.9,1.6,"3,000"
F002405,"Cheese, blue vein","Prepared by the addition of culture, rennet and mould spores to cows milk to produce green, grey, blue or black spots of mould throughout the body of the cheese. Includes Australian and imported blue cheese.","1,553",19.1,32.9,21.94,0.3,0.3,780
F002406,"Cheese, bocconcini","Fresh, soft cheese made from cows milk. Sold shaped into small balls and packed in brine or water.","1,032",16.6,20.2,14.45,0,0,210
F002407,"Cheese, brie","Australian and imported soft cheese covered with white mould and labelled as being brie style or double brie. Prepared by pasteurising, culturing and coagulating cows milk prior to salting and curing.","1,514",18.6,31.8,20.64,0,0,580
F002408,"Cheese, camembert","Prepared by pasteurising, culturing and coagulating cows milk prior to salting and curing to produce a soft creamy surface ripened cheese. Includes Australian and imported soft cheese covered with white mould and labelled as being camembert style.","1,372",18.6,27.9,18.24,0,0,570
F002414,"Cheese, cheddar, natural, regular fat","Cheddar cheese prepared by curdling cows milk with rennet, followed by curing to produce a hard pale yellow cheese. Includes unsliced mild, tasty and vintage varieties.","1,683",24.6,33.4,22.65,0.3,0.3,686
F002413,"Cheese, cheddar, natural, reduced fat (approximately 25%)","Cheddar cheese prepared by curdling cows milk with rennet, followed by curing to produce a hard pale yellow cheese. Formulated to have a fat content of approximately 25%.","1,354",27.9,23.4,15.1,0,0,550
F002428,"Cheese, cheddar, processed, regular fat","Commercially prepared regular fat processed cheddar cheese. Prepared by grinding, mixing, melting and emulsifying one or more varieties of cheese with salt to form a homogeneous mass. Supplied as slices or blocks.","1,258",18.2,23.9,16.04,1.9,1.5,"1,420"
F002425,"Cheese, cheddar, processed, reduced fat (approximately 15%), added vitamin D","Commercially prepared processed cheddar cheese formulated to contain approximately 16% fat. Prepared by grinding, mixing, melting and emulsifying one or more varieties of cheese with salt and vitamin D to form a homogeneous mass. Supplied as slices or blocks.","1,057",22.4,15.4,10.26,4.9,4.9,"1,171"
F002435,"Cheese, cottage","Regular fat creamed cottage cheese, prepared by curdling, salting, draining and washing cows milk to produce an unripened, white curd cheese.",555,17,5.7,3.47,1.8,1.8,277
F002444,"Cheese, cream, plain","Regular fat soft, white cheese prepared by blending, culturing and salting cows milk, cream and vegetable gum.","1,419",8.5,34.2,22.07,0.2,0.2,320
F002448,"Cheese, edam","A semi-hard cheese made by curdling cows milk with rennet, followed by curing. Coated in oil or a red or yellow wax film. Includes Australian and imported edam cheese.","1,497",27.4,27.2,17.22,0,0,900
F002452,"Cheese, fetta (feta)","Made by curdling cows milk with rennet, which is then sliced, salted and stored in either whey or brine. Includes Australian and imported fetta cheese.","1,071",16.6,20.6,13.08,0.4,0.4,"1,100"
F002462,"Cheese, goat, firm",Cheese made from goats milk. Firm in texture.,"1,501",18.6,31.3,20.73,0.8,0.8,538
F002463,"Cheese, goat, soft",Cheese made from goats milk. Soft in texture.,"1,193",21.2,21.7,14.38,0.9,0.9,430
F002464,"Cheese, gouda","Cheese prepared by curdling cow's milk with rennet, followed by curing to produce a semi-hard, yellow cheese that is then coated in a wax rind. ","1,604",26.4,30.6,21.36,0,0,701
F002466,"Cheese, haloumi (halloumi)","Salty, semi-soft cheese that maintains its texture when cooked.","1,278",20.5,24.6,17.16,1,1,"1,100"
F010020,"Cheese, haloumi (halloumi), reduced salt","Salty, semi-soft cheese that maintains its texture when cooked. Formulated to be lower in salt than regular haloumi. ","1,283",19,25.3,17.64,1.3,1.1,825
F002467,"Cheese, havarti style","Cheese prepared by curdling cow's milk with rennet, followed by curing to produce a semi-hard, pale-yellow cheese. ","1,711",19.4,36.7,25.59,0.1,0.1,600
F002472,"Cheese, mozzarella",Cheese made from cows milk with a rubbery texture. Typically added to pizza and other Italian-style dishes.,"1,209",22.2,22.1,14.35,0,0,522
F002478,"Cheese, parmesan, dried, finely grated","Parmesan-style cheese, prepared by removing the majority of cream from cows milk before heating, curdling and brining. Cheese is finely grated prior to sale and some additional moisture may be removed, so that the cheese does not generally require refrigerator storage.","1,946",40.6,33.3,21.06,0,0,"1,300"
F002479,"Cheese, parmesan, fresh, regular fat","A hard granular cheese prepared by removing the majority of cream from cows milk before heating, curdling and brining.","1,563",32,27,18.73,0,0,"1,000"
F002485,"Cheese, provolone style","Cheese prepared by culturing and coagulating cow's milk to form curds that are stretched and kneaded until smooth, then shaped. The cheese is then coated in a wax rind. ","1,546",27.8,28.4,19.81,0.1,0.1,"1,000"
F002486,"Cheese, quark","Cheese prepared by curdling, salting, draining and washing cow's milk to produce an unripened, white curd cheese.",343,13.6,1.1,0.71,2.9,2.9,160
F002488,"Cheese, ricotta",Australian produced ricotta cheese. Prepared by collecting the whey from the coagulation of cows milk and further separation and draining.,637,10.4,11,7.2,2.7,2.7,170
F002496,"Cheese, swiss or jarlsberg","Cheese prepared by curdling cow's milk with rennet, followed by curing to produce a hard to semi-hard, yellow cheese containing characteristic holes. Often sold with a wax rind.","1,612",28.2,30,20.91,0.1,0.1,425
F003270,"Cream, thickened, regular fat (approximately 35%)","Australian produced thickened cream with a fat content of 35%. Major ingredients include cream, gelatine and vegetable gum. Produced by separating milk into a highly concentrated milk fat stream (cream) and a non-milk fat stream (skim milk) and adding thickener to increase the viscosity.","1,425",2,36.5,23.52,2.4,2.4,27
F003269,"Cream, sour, regular fat",Commercially produced Australian sour cream with a fat content of approximately 35% Prepared by culturing cream or milk with lactic acid bacteria resulting in the sour flavour.,"1,415",1.9,36.3,23.46,2,2,19
F003267,"Cream, sour, light (approximately 18% fat)",Commercially produced Australian sour cream with a fat content of approximately 18%. Prepared by culturing a combination of cows milk cream and milk with lactic acid bacteria resulting in the sour flavour and decreased fat content compared to regular sour cream.,872,3.6,19.7,12.73,4.5,4.5,19
F003255,"Cream, imitation (non-dairy)","Commercially produced soft product with a creamy appearance and texture that is commonly used in baked goods in place of whipped dairy cream, but which is not dairy-based.","1,124",1,21.8,19.34,17.7,16.3,57
F004508,"Ice cream, vanilla flavour, regular fat","Commercial product prepared by mixing milk, sugar, gums, emulsifiers and vanilla flavour, then freezing rapidly with agitation to aerate the ice cream to give it a light texture. Includes varieties with a fat content of 11%. Some analysed samples contain egg yolk.",825,3.7,11.1,7.5,20.5,18.4,48
F004507,"Ice cream, vanilla flavour, premium or rich (approximately 15% fat)","Vanilla ice cream. Major ingredients include cream, milk, sugar, gums and emulsifiers. Prepared by freezing rapidly with agitation to aerate the ice cream and give a light texture. Includes premium and gourmet ice creams with fat content ~15%. Some samples contain egg yolk.",936,3.2,13.5,8.94,22.5,19.7,37
F001978,Buttermilk,Reduced fat cow's milk which has been fermented by the addition of bacterial cultures. Product remains a liquid and does not contain added flavours.,246,4.2,2,1.36,5.4,5.4,57
F005634,"Milk, cow, fluid, regular fat (3.5% fat)",Australian produced regular fat cows milk. Supplied with a minimum fat content of 3.2 g milk fat/100 g.,275,3.3,3.4,2.28,5.4,5.4,35
F005635,"Milk, cow, fluid, regular fat (3.5% fat), added omega 3 polyunsaturates",Australian produced regular fat cows milk to which sources of omega-3 fatty acids are added. Supplied with fat content of approximately 3.4%.,258,3.1,3.2,2.08,5.1,5.1,40
F005614,"Milk, cow, fluid, reduced fat (1% fat)",Australian produced reduced fat cows milk. Supplied with fat content of approximately 1%.,186,3.3,1.2,0.85,4.8,4.8,36
F005621,"Milk, cow, fluid, reduced fat (1.5% fat), added omega 3 polyunsaturates","Australian produced reduced fat cows milk. Supplied with a fat content of approximately 1%, with added sources of omega-3 fatty acids.",218,4.5,1.4,0.48,5.1,5.1,40
F005637,"Milk, cow, fluid, skim (0.15% fat)",Australian produced cows skim milk. Supplied with a maximum fat content of 0.15%.,151,3.6,0,0,5.3,5.3,38
F005599,"Milk, cow, fluid, lactose free, regular fat (3.5% fat)",Australian produced regular fat cows milk. Lactase enzyme added to pre-digest naturally-occurring lactose. Supplied with a fat content of 3.5%.,251,3.1,3.1,2.1,4.7,4.5,35
F005598,"Milk, cow, fluid, lactose free, reduced fat (1% fat)",Australian produced regular fat cows milk. Lactase enzyme added to pre-digest naturally-occurring lactose. Supplied with a fat content of 1%.,184,3.3,1.1,0.76,4.9,4.7,42
F005581,"Milk, cow, canned, evaporated, regular",Canned milk prepared by evaporating approximately 60% of the water content of regular fat cows milk prior to sterilisation.,598,7.5,8.2,5.23,10,10,104
F005580,"Milk, cow, canned, evaporated, reduced fat (approximately 2% fat)",Canned milk prepared by evaporating approximately 60% of the water content of regular fat and skim cows milk prior to sterilisation. Formulated to have a fat content of 2%.,390,7.8,2.1,1.35,10.6,10.6,104
F005578,"Milk, canned, evaporated, skim (<0.5% fat)",Canned milk prepared by evaporating approximately 60% of the water content of skim cow's milk prior to sterilisation.,327,7.8,0.4,0.28,10.6,10.6,91
F005582,"Milk, cow, canned, sweetened, condensed, regular",Milk product prepared by adding sugar to regular fat cows milk prior to evaporation of approximately 50% of the water content. Includes both canned and tube varieties.,"1,416",8.3,9.2,6.03,55,55,106
F005579,"Milk, canned, sweetened, condensed, skim (~0.2% fat)",Canned milk prepared by adding sugar to skim cow's milk prior to evaporation of approximately 50% of the water content.,"1,208",10.1,0.2,0.17,60.4,60.4,125
F005650,"Milk, cow, powder, regular fat, unfortified","Regular fat cows milk powder, prepared by removing water from regular fat milk by spray-drying. May also contain lecithin.","2,091",25.3,25.2,16.83,43,43,310
F005649,"Milk, cow, powder, regular fat, added vitamins A & D","Regular fat cows milk powder, prepared by removing water from regular fat milk by spray-drying. Contains added vitamins A and D. May also contain lecithin.","2,170",25.3,27.3,18.26,43,43,310
F005652,"Milk, cow, powder, skim","Cows skim milk powder, prepared by removing the majority of water from skim cows milk by spray drying.","1,575",34.9,0.8,0.51,56,56,420
F005646,"Milk, goat, fluid, regular fat",Australian produced goat's milk. Pasteurised (regular or ultra-high temperature) and homogenised.,210,3.1,2.6,1.72,3.6,3.6,66
F005654,"Milk, goat, powder, regular fat",Powder prepared by removing the majority of water from regular fat goat's milk by spray-drying. ,"2,085",27.3,27.1,17.8,36.5,36.5,295
F003442,"Custard, vanilla, regular fat","Commercially produced regular fat vanilla flavoured custard. Major ingredients include regular fat milk, sugar, flavour and thickener. Custard does not contain eggs.",423,3.2,3,1.96,14.6,12.3,54
F003426,"Custard powder, vanilla, dry mix","Dry yellow powder used for making custard. Ingredients include cornflour, salt, colours and flavours.","1,414",0.5,0.4,0.08,81.5,0.4,392
F009694,"Yoghurt, natural, regular fat (3% fat)","Unflavoured (natural) yoghurt. Prepared by pasteurising and homogenising cows milk before culturing, resulting in a thickened, tangy yoghurt. Contains added milk powder. Formulated to have a fat content of approximately 4%. Does not contain fruit or flavouring.",309,5.1,3.2,2.17,5,4.9,58
F009919,"Yoghurt, natural, sheep's milk","Sheep's milk yoghurt. Prepared by pasteurising and homogenising sheep's milk before culturing, resulting in a thickened, tangy yoghurt.",393,5.9,6.5,4.56,2.2,2.2,49
F009825,"Almond beverage, added sugar, unfortified","A dairy milk substitute made from water, almonds, sweetened with sugar or rice syrup.",117,0.5,1.4,0.12,3,2.2,53
F009824,"Almond beverage, no added sugar, unfortified","A dairy milk substitute made from water, almonds, sunflower oil and salt. Does not contain added sugar or calcium.
",65,0.5,1.4,0.12,0,0,40
F009827,"Almond beverage, added sugar & Ca","A dairy milk substitute made from water, almonds, sunflower oil and salt. Product is sweetened with added sugar or syrup, and contains added calcium.",117,0.5,1.4,0.12,3,2.2,43
F009826,"Almond beverage, no added sugar, added Ca","A dairy milk substitute made from water, almonds and salt. Does not contain added sugar but does contain added calcium.",65,0.5,1.4,0.12,0,0,43
F009812,"Coconut beverage, unfortified","Coconut beverage, commonly used as a milk alternative. Major ingredients include water and 8-20% coconut milk or cream. Unfortified.",106,0.2,1.7,1.48,2.4,1,47
F009813,"Coconut beverage, added Ca","Coconut beverage, commonly used as a milk alternative. Major ingredients include water and 8-20% coconut milk or cream. Contains added calcium but not added sugar.",106,0.2,1.7,1.48,2.4,1,17
F006132,"Oat beverage, fluid, unfortified","A dairy milk substitute made from filtered water, oats, sunflower oil and salt, without added vitamins and minerals.",228,1.3,0.8,0.16,10.2,3.1,38
F006131,"Oat beverage, fluid, added Ca","A dairy milk substitute made from filtered water, oats, sunflower oil and salt. Contains added calcium.",228,1.3,0.8,0.16,10.2,3.1,38
F011006,"Oat beverage, fluid, added calcium & vitamins","A dairy milk substitute made from filtered water, oats, sunflower oil and salt, without added vitamins and minerals.",174,0.5,1.6,0.34,5.9,1.6,46
F009980,"Rice beverage, unfortified","A dairy milk substitute made from filtered water, brown rice, sunflower oil and salt. Does not contain added calcium.",200,0.6,1,0.16,9,3.1,65
F007632,"Rice beverage, fluid, added calcium","A dairy milk substitute made from filtered water, brown rice, sunflower oil and salt. Contains added calcium.",259,0.3,1,0.16,12.7,3.7,62
F008721,"Soy beverage, regular fat (3% fat), unfortified","A dairy milk substitute prepared from soy beans with a fat content of 3%. Does not contain added vitamins, minerals or artificial flavouring substances.",248,3.7,2.7,0.43,4.6,2.6,44
F008719,"Soy beverage, regular fat (3% fat), added Ca",A dairy milk substitute prepared from soy beans with a fat content of 3%. Contains added calcium.,248,3.7,2.7,0.43,4.6,2.6,44
F003804,"Falafel, chickpea patty, deep fried",Patty or ball made from chickpeas with herbs and spices. Deep fried in oil until crisp and golden brown.,927,8.9,10.6,2.05,16.9,4.6,584
F009147,Textured vegetable protein/soy granules,"Textured vegetable protein is a defatted soy flour product, a by-product of extracting soybean oil. It is often used as a meat analogue or meat extender.","1,344",51.5,1.2,0.17,15.2,4.8,20
F009176,"Tofu (soy bean curd), firm, as purchased","Commercially prepared soy bean extract, that has set to a firm texture. Ingredients include water, soy beans, glucono-delta lactone, and nigari (magnesium chloride) or calcium salts.",542,12.8,8.3,1.16,0,0,22
F009799,"Meat alternative, mycoprotein/fungus base, commercial, as purchased","Meat alternative products made from a fungus base (mycoprotein) formed as pieces, fillets, strips and/or mince. Also contain flavours, and/or seasoning.",477,13.8,4.1,0.85,2.5,0,170
F010550,"Meat alternative, mycoprotein/fungus base, schnitzels/fish alternative/patty/sausages, as purchased","Meat alternative products made from a fungus base (mycoprotein) mixed with flour, and/or other vegetable proteins and breadcrumbs to form schnitzel, crumbed fish alternative, patty and sausage products. Also contain flavours, and/or seasoning.",840,12.3,8.7,1.81,16,1.8,170
F009821,"Meat alternative, mycoprotein/fungus base, cooked","Meat alternative products made from a fungus base (mycoprotein) formed as pieces, fillets, strips and/or mince. Also contain flavours, and/or seasoning. Cooked after purchase.",654,18.8,5.6,1.17,3.4,0,233
F009822,"Meat alternative, protein (soy/wheat/pea) base, as purchased","Meat alternative products commonly based on soy, wheat and/or pea protein. Formed into various shapes including strips, mince and patties.",941,19.4,13.4,5.56,3.2,0.8,520
F009823,"Meat alternative, protein (soy/wheat/pea) base, cooked","Meat alternative products commonly based on soy, wheat and/or pea protein. Formed into various shapes including strips, mince and patties. Cooked without added fat after purchase.","1,161",23.9,16.5,6.86,4,1,642
F010472,"Meat alternative, protein (soy/wheat/pea) base, added vitamins & minerals, as purchased","Meat alternative products commonly based on soy, wheat and/or pea protein. Formed into various shapes including strips, mince and patties.",941,19.4,13.4,5.56,3.2,0.8,520
F009814,"Meat alternative, legume and/or vegetable base, as purchased","Meat alternative products made from chopped, minced, or blended vegetables and/or legumes and other ingredients such as spices, sugar and salt. Formed into burgers/patties.",760,7.5,5.9,0.81,21.3,4.9,360
F009816,"Meat alternative, legume and/or vegetable base, cooked","Meat alternative products made from chopped, minced, or blended vegetables and/or legumes and other ingredients such as spices, sugar and salt. Formed into burgers/patties. Cooked after purchase.",938,9.2,7.3,1,26.3,6,311
F004263,"Gravy powder, dry mix","Dry mix for reconstitution as sauce to be served with meat. Typical ingredients may include wheat flour, salt, colour, spices and vegetable protein.","1,311",8.9,6.2,2.89,54.7,0.7,"6,020"
F008509,"Soup, broth style, with meat, instant dry mix","Instant dry beef mix soup containing beef or chicken and other ingredients such as spices and herbs, maltodextrins, salt and starch. Requires mixing with boiling water in a cup before consumption.","1,356",4.8,3.3,1.61,65.7,5.7,"5,020"
F008508,"Soup, broth style, with meat & noodles, instant dry mix","Instant dry chicken noodle soup mix containing noodles, salt, sugar, flavour enhancer, garlic, skim milk, vegetable fat, hydrolysed veg. protein, chicken, onion, parsley, spices, herbs, colour (turmeric). Requires mixing with boiling water in a cup before consumption.","1,526",10.8,6.3,1.12,64.1,6,"4,536"
F008571,"Soup, cream variety, instant dry mix","Instant dry cream type soup mix including chicken, onion, mushroom and vegetable flavours. Typical ingredients include chicken, dried onions, mushrooms, purees of potato, carrot, leak, wheat flour, green bean, swede, salt, non-fat milk solids, beef fat, vegetable protein, herbs and spices, maltodextrin, flavours and enhancers. Requires mixing with boiling water before consumption.","1,636",5.3,13.2,5.89,59.1,8.1,"4,230"
F008670,"Soup, vegetable, instant dry mix","Dry onion soup mix containing dried onion and other ingredients such as mushrooms, herbs, wheat flour, vegetable oil, beverage whitener, milk proteins, salt and vegetable gum. Requires mixing with boiling water before consumption.","1,212",6.7,2.1,0.91,58.3,10.3,"7,130"
F008661,"Soup, vegetable & noodle, instant dry mix","Instant tomato soup dry mix with noodles, containing tomato powder, wheat gluten, beverage whitener, vegetable oil, antioxidants, maize starch, maltodextrin, salt and spices. Requires mixing with boiling water before consumption.","1,530",8.7,6.3,2.59,65.5,16,"2,030"
F001973,"Butter, plain, salted","A product derived exclusively from milk and products obtained from milk, principally in the form of an emulsion of the type water-in-oil, containing no less than 80% milk fat. Contains added salt.","3,069",1.1,82.2,56.91,0.6,0.6,776
